0.00,0.00,0.00,0.00,0.00,0.00
22.67,2.70,18.03,20.03,14.57,-0.50
16.23,0.80,16.73,20.57,20.27,0.71
15.87,26.58,15.27,13.13,13.87,1.08
24.03,0.93,17.77,17.23,17.77,-2.06
17.53,1.11,20.53,21.00,18.70,1.28
11.10,31.51,12.30,15.73,11.87,-1.03
9.23,48.24,7.97,9.87,13.10,-1.51
9.10,36.72,12.43,12.83,11.43,-3.98
15.87,24.00,14.30,14.70,10.40,-1.51
10.70,48.44,8.40,9.13,7.97,0.46
12.37,32.12,10.83,10.70,14.00,-0.68
9.90,48.44,7.87,11.00,9.10,2.04
9.07,48.33,9.77,12.40,8.60,-1.02
8.47,48.18,10.67,8.90,9.60,-2.41
8.67,48.57,10.43,10.17,9.57,-3.96
10.20,48.35,8.57,10.03,10.10,-6.07
9.47,48.33,8.33,11.63,9.17,-1.70
6.30,48.50,10.23,12.77,9.23,-5.11
11.50,48.43,9.37,9.17,10.37,-3.57
14.50,24.60,16.13,17.53,11.23,2.31
12.13,36.15,11.33,13.27,12.00,0.15
8.93,48.30,7.50,10.77,11.67,-6.84
15.17,2.83,16.00,21.87,22.23,-0.97
6.17,48.31,10.17,11.17,10.47,1.67
9.33,48.31,9.63,9.40,10.57,-1.27
11.27,42.24,9.53,12.57,11.87,-0.25
9.90,41.11,11.00,10.73,8.90,-0.86
10.10,48.24,7.20,9.83,10.27,3.47
7.63,48.44,11.03,8.40,10.60,-1.41
9.40,48.27,9.40,12.17,9.30,1.03
18.47,5.41,19.83,20.70,14.50,0.20
9.53,48.32,10.03,11.87,8.70,1.68
14.77,23.95,16.17,16.37,13.33,1.07
11.47,48.29,9.07,8.43,9.67,-1.35
9.10,48.41,10.47,10.87,8.10,1.33
7.77,45.28,10.43,9.93,12.33,0.10
14.60,25.46,12.33,11.20,19.07,1.43
9.50,48.48,7.63,11.20,10.70,-2.31
11.10,41.33,12.53,9.43,10.20,1.11
17.90,9.44,18.97,18.97,14.60,-8.70
12.43,24.69,18.40,14.90,12.30,-0.88
7.60,48.49,11.07,10.63,10.10,-0.81
7.93,48.20,11.10,9.90,9.27,-1.06
8.30,48.44,9.80,7.50,11.97,-2.59
6.93,48.28,11.33,8.90,12.53,-0.71
14.77,17.14,17.17,14.03,13.87,0.48
9.20,48.19,10.13,9.70,9.90,-5.32
9.77,48.21,9.97,10.33,8.50,1.17
7.60,48.42,8.83,9.03,12.13,1.56
8.17,48.24,10.33,9.13,11.13,3.95
7.77,48.37,9.40,9.50,10.13,-2.91
10.10,48.58,9.13,7.20,8.87,5.81
9.87,48.42,10.17,11.37,8.50,-2.11
8.73,48.33,8.50,10.37,8.20,-3.63
13.43,21.52,16.50,13.60,14.77,-1.20
7.47,48.25,8.53,11.47,10.57,2.22
9.20,48.31,12.67,8.37,7.00,-2.37
7.00,48.32,9.87,8.87,12.30,-1.66
8.03,48.21,7.47,8.47,10.47,-1.30
14.97,2.96,19.03,20.13,23.50,1.68
7.20,48.41,10.63,10.07,10.60,-0.41
13.87,40.20,10.63,12.77,8.30,-3.65
10.97,34.90,11.43,13.23,14.03,-1.84
11.30,48.19,8.20,13.00,7.60,0.89
13.10,7.26,13.50,16.70,21.27,1.50
15.00,12.77,20.37,14.37,16.73,-1.40
9.40,48.19,10.47,9.83,9.67,0.06
8.63,40.78,10.73,9.03,14.50,-3.77
7.93,48.34,8.07,9.10,11.57,-0.27
15.70,13.19,16.87,14.70,19.40,-3.79
20.30,9.21,19.20,13.90,23.63,2.69
8.63,48.36,8.27,13.17,8.37,-2.71
10.13,48.41,6.57,8.70,10.57,-0.37
13.23,29.37,11.73,15.30,12.37,-4.45
10.03,48.26,8.40,9.53,9.50,2.05
11.97,12.94,18.60,20.53,15.80,-1.76
8.93,48.27,11.03,9.47,8.03,-1.04
7.93,48.29,10.67,11.70,9.37,-2.65
7.97,48.37,9.37,11.93,9.87,1.04
7.73,47.29,10.63,10.83,9.00,-1.99
8.30,48.32,10.53,9.47,9.37,-2.41
8.37,48.34,6.67,10.23,10.60,-0.31
9.30,48.37,10.87,8.90,9.10,0.17
8.67,48.43,10.03,8.73,10.67,-2.18
6.10,48.31,11.17,11.03,7.43,0.38
9.87,48.27,9.77,9.67,8.67,-1.74
8.60,48.41,8.00,9.97,10.60,-0.01
19.30,6.07,19.47,16.83,16.90,-4.57
13.10,26.41,16.13,12.13,15.37,-0.44
11.73,48.39,9.47,9.67,9.20,1.34
8.63,48.27,8.93,8.73,11.93,4.37
10.50,48.38,13.13,9.60,6.93,-1.18
14.87,9.26,15.23,14.47,21.37,-1.05
5.70,48.40,12.00,8.90,11.13,-5.00
12.73,25.06,18.53,12.20,15.90,-3.20
9.23,48.37,9.40,8.93,9.27,3.92
9.03,48.41,10.60,11.47,7.43,-0.81
8.53,48.25,9.47,8.23,9.63,-5.08
7.90,48.25,9.67,9.43,11.97,-0.50
7.50,48.40,10.70,9.33,8.40,-1.32
9.47,48.42,9.20,10.90,8.27,-0.91
15.13,0.54,16.40,24.23,19.63,0.36
10.93,48.16,8.83,9.77,10.10,-3.86
9.53,48.27,11.43,6.87,9.67,-1.30
8.53,48.31,9.73,9.43,10.13,1.05
8.90,48.43,9.53,7.60,12.23,-4.83
7.67,48.46,10.90,9.67,9.00,0.15
8.30,48.28,7.77,13.10,10.33,-1.27
7.00,48.44,10.90,8.47,12.50,-0.66
6.77,48.36,10.47,9.00,12.40,-4.80
9.17,48.43,11.30,8.50,9.27,-0.81
9.47,39.86,8.97,13.63,9.60,-0.68
19.50,10.16,16.63,18.83,14.07,1.94
8.43,48.31,10.33,10.03,8.77,2.48
12.43,37.57,8.13,14.77,12.37,-0.78
10.70,48.20,9.73,10.70,6.57,0.95
9.33,48.33,9.10,6.33,11.57,-0.43
6.73,48.35,8.47,11.57,10.50,2.32
9.00,48.17,10.93,7.57,11.30,-0.23
10.63,48.21,7.50,7.27,11.33,0.05
21.10,5.06,19.37,15.73,20.23,-0.47
8.00,48.32,8.37,10.60,9.87,0.56
9.27,48.32,7.97,13.27,10.20,3.16
9.70,48.39,9.37,8.67,11.77,-5.33
8.63,48.49,9.87,10.73,7.00,-0.82
10.17,48.56,9.27,10.53,10.70,-1.04
17.73,19.00,12.07,16.00,16.13,1.01
8.77,48.40,11.10,10.30,8.87,2.84
10.90,48.30,9.63,8.20,9.50,-4.10
8.77,48.57,11.33,9.27,8.17,-7.46
9.23,48.36,7.67,10.83,11.77,-5.86
8.40,38.21,11.53,11.67,14.30,-5.67
7.63,48.35,10.07,9.93,11.20,2.72
9.93,48.27,10.60,9.17,9.13,-3.34
8.33,48.40,13.03,8.03,7.37,-3.16
9.60,48.27,11.63,10.33,7.00,-4.01
8.57,48.27,9.10,10.10,10.20,0.61
10.80,41.69,12.53,9.13,10.63,1.03
8.10,48.28,10.57,8.33,7.47,-5.28
9.40,47.51,12.90,10.07,7.77,-1.45
7.50,48.15,9.37,11.17,10.73,-7.33
14.47,18.41,16.50,15.60,17.63,-4.87
9.50,48.16,11.03,9.03,9.50,-0.90
9.93,48.35,8.87,10.40,10.83,-4.98
8.83,48.17,10.70,9.07,7.53,1.84
9.57,48.06,10.17,11.07,8.33,-5.69
10.13,41.57,9.00,9.40,16.47,-0.13
17.47,20.72,13.77,15.07,12.90,0.02
10.23,48.31,10.53,9.87,10.67,-2.22
8.20,48.22,9.03,9.87,8.97,-2.07
8.03,48.28,8.37,8.83,10.03,1.77
7.70,48.29,10.80,13.13,7.17,-3.89
11.17,23.87,16.40,15.00,12.33,-0.58
7.50,48.38,11.40,10.47,8.73,-0.47
8.77,48.23,10.87,9.57,9.77,-0.85
10.67,27.54,14.30,14.33,14.30,-2.61
13.30,23.92,17.53,14.67,13.30,3.66
7.30,48.45,8.67,9.37,12.00,1.16
8.43,48.50,7.43,10.60,9.87,-1.13
8.63,48.46,8.87,8.83,9.07,1.09
8.87,48.38,10.57,10.27,8.53,-0.09
6.87,48.19,7.87,11.30,10.87,-3.73
13.87,23.83,14.67,16.00,16.47,0.41
8.60,48.31,8.47,10.77,9.23,-2.30
8.27,48.26,10.60,9.20,10.07,-2.00
12.23,31.28,12.00,15.07,13.77,-5.59
6.63,48.63,8.27,13.00,10.47,-0.58
10.40,48.46,8.90,8.17,8.10,-3.06
17.97,10.45,20.20,16.33,17.30,-0.24
8.07,48.51,8.23,11.50,11.00,-3.01
8.20,48.30,8.63,10.63,10.30,1.00
14.13,21.01,15.63,14.07,15.57,1.31
10.57,48.37,9.27,8.97,9.10,0.11
6.53,48.36,11.77,11.67,8.57,0.45
19.73,11.45,16.37,17.87,16.10,1.96
11.37,48.15,7.37,9.53,10.03,0.74
11.07,35.03,12.73,13.43,14.77,-4.66
13.50,13.10,20.37,9.57,19.07,-5.67
18.40,10.04,13.57,16.53,21.40,1.91
8.80,48.33,9.40,9.60,10.00,-0.80
8.57,45.83,10.10,9.30,10.73,-2.37
7.73,48.37,6.67,10.97,11.40,-4.35
11.73,48.36,7.10,10.13,9.90,1.70
10.97,48.49,10.60,9.30,9.47,-0.42
9.83,48.31,8.67,6.80,12.90,1.15
8.03,48.35,9.73,9.97,9.93,-4.46
17.17,4.48,17.60,12.40,21.33,-4.23
16.27,10.84,14.10,16.70,17.40,0.95
8.47,48.31,8.33,10.20,10.33,1.87
7.13,43.39,12.70,7.67,14.00,-2.49
9.93,33.42,12.60,11.83,13.63,2.39
12.37,48.33,9.00,9.73,8.13,3.20
13.80,21.07,15.07,12.67,16.63,-1.67
6.30,48.38,12.17,8.30,10.90,-0.30
9.00,48.33,11.27,9.40,7.17,-1.06
13.30,39.79,11.93,9.90,11.47,-2.01
10.00,48.23,11.63,9.27,7.67,-0.89
8.47,48.41,7.43,11.00,11.30,1.82
7.87,48.21,10.77,10.60,6.97,-3.38
